gene_name,Accession,Description,logFC,pvalue,AveExpr,Control_abundance,Penta_abundance,hit_annotation,LipidProbe
YWHAG,NP_036611.2,14-3-3 protein gamma [OS=Homo sapiens],-0.04,0.963954914,23.454514892169094,13105839.84,9884347.592,no hit,bf-GPI
BAF83740.1,BAF83740.1,unnamed protein product [OS=Homo sapiens],-0.04,0.95367467,24.773896864417527,29455565.4,27918557.76,no hit,bf-GPI
VTN,AAH05046.1,Vitronectin [OS=Homo sapiens],-0.04,0.963954914,21.94868944381873,4108689.404,3986814.448,no hit,bf-GPI
"MURR1 variant, partial [Homo sapiens]",BAD97327.1,"MURR1 variant, partial [OS=Homo sapiens]",-0.04,0.993975579,16.49062481492792,93472.82015,90690.32031,no hit,bf-GPI
CHD4,XP_006719021.1,PREDICTED: chromodomain-helicase-DNA-binding protein 4 isoform X1 [OS=Homo sapiens],-0.04,0.963954914,23.53267642993247,11913641.56,12356453.61,no hit,bf-GPI
DPP9,AAO73880.2,"dipeptidyl peptidase 9 long form, partial [OS=Homo sapiens]",-0.04,0.99616346,18.37124602012269,345539.1609,332611.369,no hit,bf-GPI
WBP2,EAW89326.1,"WW domain binding protein 2, isoform CRA_b [OS=Homo sapiens]",-0.04,0.99997298,18.150176935345225,295318.0369,286487.272,no hit,bf-GPI
"importin 4 variant, partial [Homo sapiens]",BAD92713.1,"importin 4 variant, partial [OS=Homo sapiens]",-0.04,0.963954914,23.756476681343717,13747529.79,14595225.56,no hit,bf-GPI
BAG35212.1,BAG35212.1,unnamed protein product [OS=Homo sapiens],-0.04,0.981195482,17.548070548937527,208394.2618,174894.0686,no hit,bf-GPI
FUCA1,NP_000138.2,Tissue alpha-L-fucosidase precursor [OS=Homo sapiens],-0.04,0.989323701,15.38810503692371,41396.30743,44368.90906,no hit,bf-GPI
GTF2I,NP_127492.1,general transcription factor II-I isoform 1 [OS=Homo sapiens],-0.04,0.951765594,24.946277283757137,35613062.03,29042774.97,no hit,bf-GPI
BLVRB,EAW56972.1,"biliverdin reductase B (flavin reductase (NADPH)), isoform CRA_d [OS=Homo sapiens]",-0.05,0.96640439,22.101449040174714,4799066.958,4200655.25,no hit,bf-GPI
RAN,EAW98515.1,"RAN, member RAS oncogene family, isoform CRA_a [OS=Homo sapiens]",-0.05,0.950907389,26.65728751157483,98489402.03,113187338.6,no hit,bf-GPI
COPA,NP_001091868.1,coatomer subunit alpha isoform 1 [OS=Homo sapiens],-0.05,0.950783595,25.213914624464106,41411981.15,36422960.78,no hit,bf-GPI
"DnaJ (Hsp40) homolog, subfamily B, member 4 variant, partial [Homo sapiens]",BAD93159.1,"DnaJ (Hsp40) homolog, subfamily B, member 4 variant, partial [OS=Homo sapiens]",-0.05,0.982461169,17.176885156959273,136360.2811,159977.9335,no hit,bf-GPI
CCT2,BAG70037.1,T-complex protein 1 subunit beta [OS=Homo sapiens],-0.05,0.948647902,26.950987565055026,119895761.7,139573350.3,no hit,bf-GPI
SLC3A2,NP_001012680.1,4F2 cell-surface antigen heavy chain isoform b [OS=Homo sapiens],-0.05,0.948647902,27.195221601822684,150620157,156711598.4,no hit,bf-GPI
BPNT1,AAH17801.1,BPNT1 protein [OS=Homo sapiens],-0.05,0.96640439,22.09609383166936,4154167.619,4812210.016,no hit,bf-GPI
"FUS interacting protein (serine-arginine rich) 1 isoform 2 variant, partial [Homo sapiens]",BAD96714.1,"FUS interacting protein (serine-arginine rich) 1 isoform 2 variant, partial [OS=Homo sapiens]",-0.05,0.96640439,22.003368252851736,3954449.321,4453766.4,no hit,bf-GPI
HSP90B1,NP_003290.1,endoplasmin precursor [OS=Homo sapiens],-0.05,0.947769024,27.716286140111233,222282895.9,218742392.1,no hit,bf-GPI
NDUFS1,NP_001186913.1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial isoform 5 [OS=Homo sapiens]",-0.05,0.956220282,24.038367846490925,16870170.39,17588599.05,no hit,bf-GPI
TFRC,EAW53671.1,"transferrin receptor (p90, CD71), isoform CRA_b [OS=Homo sapiens]",-0.05,0.944667842,26.26696337376513,77732693.6,83767804.52,no hit,bf-GPI
CD44,XP_005253288.1,PREDICTED: CD44 antigen isoform X1 [OS=Homo sapiens],-0.05,0.963954914,23.468759951485,12514952.71,10703362.46,no hit,bf-GPI
HCA56,AAF34185.2,hepatocellular carcinoma-associated antigen 56 [OS=Homo sapiens],-0.05,0.974110489,19.04877270820672,526837.1955,557793.6759,no hit,bf-GPI
RPL3,EAW60315.1,"ribosomal protein L3, isoform CRA_f [OS=Homo sapiens]",-0.05,0.94390783599999994,26.058370192406322,72156715.48,67602695.52,no hit,bf-GPI
"type I keratin 16, K16",AAB35421.1,Type I keratin 16 [OS=Homo sapiens],-0.05,0.96640439,20.557858896794748,1206504.046,1880677.505,no hit,bf-GPI
SARS2,EAW56845.1,"seryl-tRNA synthetase 2, isoform CRA_b [OS=Homo sapiens]",-0.05,0.96640439,21.98839686568653,3082800.241,5238611.452,no hit,bf-GPI
HME1,AAA59546.1,epithelial cell marker protein 1 [OS=Homo sapiens],-0.05,0.963954914,23.573836488953052,12778690.01,12193802.51,no hit,bf-GPI
CTTN,EAW74770.1,"cortactin, isoform CRA_d [OS=Homo sapiens]",-0.05,0.962727712,23.805841997142053,12326286.22,17003068.55,no hit,bf-GPI
"embryonic ectoderm development protein, partial [Homo sapiens]",AAC23685.1,"embryonic ectoderm development protein, partial [OS=Homo sapiens]",-0.05,0.984446724,15.340727989669643,42224.47597,40770.01696,no hit,bf-GPI
ALDH3A2,NP_001026976.1,fatty aldehyde dehydrogenase isoform 1 [OS=Homo sapiens],-0.05,0.963954914,23.84203369968335,14191156.43,15883266.09,no hit,bf-GPI
SPAG9,XP_005257825.1,PREDICTED: C-Jun-amino-terminal kinase-interacting protein 4 isoform X1 [OS=Homo sapiens],-0.05,0.963954914,21.749179383179097,3780152.817,3269786.375,no hit,bf-GPI
DKFZp686B1823,CAH18695.1,Hypothetical protein [OS=Homo sapiens],-0.05,0.939451957,25.619263379891517,53125602.64,49959697.52,no hit,bf-GPI
G22P1,CAG47015.1,G22P1 [OS=Homo sapiens],-0.05,0.938777691,27.40643757028142,177458862.4,178327894.4,no hit,bf-GPI
NAG,AAM93544.1,neuroblastoma-amplified protein [OS=Homo sapiens],-0.05,0.96640439,20.935899975282844,2041614.041,1970413.212,no hit,bf-GPI
NUMBL,NP_004747.1,numb-like protein isoform a [OS=Homo sapiens],-0.05,0.993682325,15.453911560610642,45681.30469,44086.56641,no hit,bf-GPI
ADSL,XP_011528279.1,PREDICTED: adenylosuccinate lyase isoform X1 [OS=Homo sapiens],-0.05,0.941310105,24.287209601840903,19766863.65,21178864.32,no hit,bf-GPI
SUMO1,AAH66306.1,SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae) [OS=Homo sapiens],-0.05,0.96640439,19.758392312127093,795406.0846,978369.8064,no hit,bf-GPI
AGFG1,XP_006712541.1,PREDICTED: arf-GAP domain and FG repeat-containing protein 1 isoform X1 [OS=Homo sapiens],-0.05,0.96640439,21.184657627603364,2325919.449,2441105.111,no hit,bf-GPI
ATP2B1,P20020.3,RecName: Full=Plasma membrane calcium-transporting ATPase 1; Short=PMCA1; AltName: Full=Plasma membrane calcium ATPase isoform 1; AltName: Full=Plasma membrane calcium pump isoform 1 [OS=Homo sapiens],-0.05,0.96640439,20.80260891212384,1822951.846,1835010.8,no hit,bf-GPI
ACLY,NP_001290203.1,ATP-citrate synthase isoform 3 [OS=Homo sapiens],-0.05,0.934405468,28.327447586561092,329245780.9,344415241.1,no hit,bf-GPI
NPEPPS,NP_006301.3,puromycin-sensitive aminopeptidase isoform 1 [OS=Homo sapiens],-0.05,0.933727952,26.543294747642733,88347257.64,107247809.8,no hit,bf-GPI
CBR1,NP_001748.1,carbonyl reductase [NADPH] 1 isoform 1 [OS=Homo sapiens],-0.05,0.933727952,26.07999746942731,74112609.9,67757701.11,no hit,bf-GPI
PVR,P15151.2,RecName: Full=Poliovirus receptor; AltName: Full=Nectin-like protein 5; Short=NECL-5; AltName: CD_antigen=CD155; Flags: Precursor [OS=Homo sapiens],-0.05,0.97748342,18.840250938108714,523587.4382,415077.625,no hit,bf-GPI
DKFZp451I037,CAE45812.1,Hypothetical protein [OS=Homo sapiens],-0.05,0.962727712,21.63148965703113,3477601.387,3020062.366,no hit,bf-GPI
RPLP0,AAH01127.1,"Ribosomal protein, large, P0 [OS=Homo sapiens]",-0.06,0.931947543,26.142201426216513,73730234.31,74390814.2,no hit,bf-GPI
NT5C2,NP_001338099.1,cytosolic purine 5'-nucleotidase isoform 2 [OS=Homo sapiens],-0.06,0.96640439,19.83503652875805,953658.9605,916898.0794,no hit,bf-GPI
HK1,EAW54323.1,"Hexokinase 1, isoform CRA_d [OS=Homo sapiens]",-0.06,0.927977246,24.890468559940082,32321835.56,29880635.57,no hit,bf-GPI
HSDL2,NP_115679.2,hydroxysteroid dehydrogenase-like protein 2 isoform 1 [OS=Homo sapiens],-0.06,0.925775467,24.53921008632488,23474002.62,25286514.36,no hit,bf-GPI
CACHD1,Q5VU97.2,RecName: Full=VWFA and cache domain-containing protein 1; Short=Cache domain-containing protein 1; Flags: Precursor [OS=Homo sapiens],-0.06,0.998867419,16.456801304747366,83335.5158,96560.20012,no hit,bf-GPI
hTOM,AAD01798.1,putative mitochondrial outer membrane protein import receptor [OS=Homo sapiens],-0.06,0.966040528,22.57314355109168,7324311.678,5155938.779,no hit,bf-GPI
NHP2,NP_060308.1,H/ACA ribonucleoprotein complex subunit 2 isoform a [OS=Homo sapiens],-0.06,0.983021395,17.295524548373212,167566.4606,154171.0339,no hit,bf-GPI
TRX1,AAF86466.1,Thioredoxin 1 [OS=Homo sapiens],-0.06,0.963954914,22.518295309321996,6300509.612,5714173.894,no hit,bf-GPI
BAA91752.1,BAA91752.1,unnamed protein product [OS=Homo sapiens],-0.06,0.96640439,21.090360454292224,1934561.221,2530846.426,no hit,bf-GPI
INPPL1,XP_005274035.1,"PREDICTED: phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 isoform X1 [OS=Homo sapiens]",-0.06,0.96640439,21.215790396623657,2802258.429,2068754.55,no hit,bf-GPI
CSNK2A1,AAH50036.1,CSNK2A1 protein [OS=Homo sapiens],-0.06,0.922766238,25.062789661136406,32949222.65,37144876.52,no hit,bf-GPI
OSBPL10,XP_005264900.1,PREDICTED: oxysterol-binding protein-related protein 10 isoform X1 [OS=Homo sapiens],-0.06,0.968451622,19.055463371859158,565389.462,524283.1913,no hit,bf-GPI
GSTP1,CAA30894.1,glutathione S-transferase [OS=Homo sapiens],-0.06,0.922507086,28.441738542346336,371025279.6,358174327.1,no hit,bf-GPI
ATAD2,NP_054828.2,ATPase family AAA domain-containing protein 2 [OS=Homo sapiens],-0.06,0.996220141,18.073187430016294,295721.0274,255850.1062,no hit,bf-GPI
RNF213,Q63HN8.3,RecName: Full=E3 ubiquitin-protein ligase RNF213; AltName: Full=ALK lymphoma oligomerization partner on chromosome 17; AltName: Full=Mysterin; AltName: Full=RING finger protein 213; AltName: Full=RING-type E3 ubiquitin transferase RNF213 [OS=Homo sapiens],-0.06,0.963954914,20.89407474643703,1855351.117,2042033.135,no hit,bf-GPI
SCC-112,EAW92955.1,"SCC-112 protein, isoform CRA_d [OS=Homo sapiens]",-0.06,0.963954914,22.446842853688228,5368943.752,6065183.009,no hit,bf-GPI
GPAT,AAC27345.1,glutamine PRPP amidotransferase [OS=Homo sapiens],-0.06,0.964845464,20.036434372149657,925672.8977,1225115.811,no hit,bf-GPI
LIMCH1,XP_011511944.1,PREDICTED: LIM and calponin homology domains-containing protein 1 isoform X1 [OS=Homo sapiens],-0.06,0.96640439,21.327787967367176,3047029.647,2217188.949,no hit,bf-GPI
leucyl tRNA synthetase [Homo sapiens],BAA95667.1,Leucyl tRNA synthetase [OS=Homo sapiens],-0.06,0.9222603,25.49764651446697,42324485.91,52427084.21,no hit,bf-GPI
"ribosomal protein L5 variant, partial [Homo sapiens]",BAD96324.1,"ribosomal protein L5 variant, partial [OS=Homo sapiens]",-0.06,0.945149403,23.554364824759595,11597473.38,13040236.49,no hit,bf-GPI
VDAC1,NP_003365.1,voltage-dependent anion-selective channel protein 1 [OS=Homo sapiens],-0.06,0.921761401,27.237448871182686,173246454.4,143213755.1,no hit,bf-GPI
"eukaryotic translation initiation factor 4 gamma, 3 variant, partial [Homo sapiens]",BAD92356.1,"eukaryotic translation initiation factor 4 gamma, 3 variant, partial [OS=Homo sapiens]",-0.06,0.99616346,18.570493096444473,392897.863,385686.0963,no hit,bf-GPI
BAG58215.1,BAG58215.1,unnamed protein product [OS=Homo sapiens],-0.06,0.920731562,24.33351805698346,19985196.46,22296152.12,no hit,bf-GPI
PRKAA1,AAH48980.1,"protein kinase, AMP-activated, alpha 1 catalytic subunit [OS=Homo sapiens]",-0.06,0.963954914,20.47965254885789,1505606.177,1418678.938,no hit,bf-GPI
NUP210,EAW64152.1,"nucleoporin 210kDa, isoform CRA_c [OS=Homo sapiens]",-0.06,0.919077451,24.568172567736024,23778620.96,25970667.91,no hit,bf-GPI
HGH1,NP_057542.2,Protein HGH1 homolog [OS=Homo sapiens],-0.06,0.963954914,22.400382680048647,5203506.867,5868264.187,no hit,bf-GPI
CGI-51 protein [Homo sapiens],AAD34046.1,CGI-51 protein [OS=Homo sapiens],-0.06,0.963954914,22.622442406344874,6790307.92,6123779.892,no hit,bf-GPI
PPP4R1,XP_011524077.1,PREDICTED: serine/threonine-protein phosphatase 4 regulatory subunit 1 isoform X1 [OS=Homo sapiens],-0.06,0.98830577,17.586037181127075,294778.7688,98730.25152,no hit,bf-GPI
P1cdc47,BAA09534.1,P1cdc47 [OS=Homo sapiens],-0.06,0.915593151,26.19024734110435,79144732.72,73992233.54,no hit,bf-GPI
KRT8,EAW96654.1,"keratin 8, isoform CRA_d [OS=Homo sapiens]",-0.06,0.914720169,30.814482625806672,1793055852,1983653528,no hit,bf-GPI
CARS1,NP_001014437.1,"cysteine--tRNA ligase, cytoplasmic isoform c [OS=Homo sapiens]",-0.06,0.955233727,23.108055365869347,6249444.021,11832611.66,no hit,bf-GPI
INPP1,ALQ33605.1,inositol polyphosphate-1-phosphatase isoform 2 [OS=Homo sapiens],-0.07,0.963954914,20.21376056357722,1250480.95,1181601.257,no hit,bf-GPI
EARS2,AAH40013.1,EARS2 protein [OS=Homo sapiens],-0.07,0.963954914,20.81220326146123,2063023.369,1619346.881,no hit,bf-GPI
BUD23,XP_006715910.1,PREDICTED: probable 18S rRNA (guanine-N(7))-methyltransferase isoform X1 [OS=Homo sapiens],-0.07,0.963954914,22.55691327772091,6491369.915,5849264.929,no hit,bf-GPI
PPP2R5D,NP_006236.1,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform isoform 1 [OS=Homo sapiens],-0.07,0.93839781,23.731952614717585,15677437.95,12187596.76,no hit,bf-GPI
ALDH3A1,AAH04102.1,"ALDH3A1 protein, partial [OS=Homo sapiens]",-0.07,0.963954914,22.78117321243944,7558290.964,6857765.313,no hit,bf-GPI
GK001,AAF86954.1,GK001 [OS=Homo sapiens],-0.07,0.959660949,20.647719335865222,1641157.955,1644428.185,no hit,bf-GPI
sly1p [Homo sapiens],AAP97146.1,Sly1p [OS=Homo sapiens],-0.07,0.962727712,22.019802700304872,4356676.342,4147869.12,no hit,bf-GPI
FNP001 [Homo sapiens],AAL57218.1,FNP001 [OS=Homo sapiens],-0.07,0.991926804,17.174744356296213,151973.323,143925.4844,no hit,bf-GPI
BAG35769.1,BAG35769.1,unnamed protein product [OS=Homo sapiens],-0.07,0.909878948,24.761567909053998,31181010.33,25704895.23,no hit,bf-GPI
RSU1,NP_036557.1,ras suppressor protein 1 isoform 1 [OS=Homo sapiens],-0.07,0.953053508,23.40099555103872,10843777.2,11309173.7,no hit,bf-GPI
Csa-19 [Homo sapiens],AAA86463.1,Csa-19 [OS=Homo sapiens],-0.07,0.935428909,23.664005666938632,13733841.03,12849252.48,no hit,bf-GPI
ERO1L,AAH08674.1,ERO1-like (S. cerevisiae) [OS=Homo sapiens],-0.07,0.963954914,22.749084527466664,7660123.449,6438827.913,no hit,bf-GPI
YTHDC2,XP_011541883.1,PREDICTED: probable ATP-dependent RNA helicase YTHDC2 isoform X1 [OS=Homo sapiens],-0.07,0.963954914,20.947088574679487,2158642.799,1884620.079,no hit,bf-GPI
CCDC134,NP_079097.1,coiled-coil domain-containing protein 134 isoform 1 precursor [OS=Homo sapiens],-0.07,0.963954914,20.183766786129105,1219455.227,1162585.726,no hit,bf-GPI
MYH9,NP_002464.1,Myosin-9 [OS=Homo sapiens],-0.07,0.904004385,29.813374908624173,921699921.6,965205425.3,no hit,bf-GPI
BAH12875.1,BAH12875.1,unnamed protein product [OS=Homo sapiens],-0.07,0.933727952,23.524175182244043,11760698.04,12366803.32,no hit,bf-GPI
FMNL1,O95466.3,RecName: Full=Formin-like protein 1; AltName: Full=CLL-associated antigen KW-13; AltName: Full=Leukocyte formin [OS=Homo sapiens],-0.07,0.964845464,21.14299240717588,1851044.079,2780277.188,no hit,bf-GPI
COQ8B,NP_079152.3,"atypical kinase COQ8B, mitochondrial isoform a [OS=Homo sapiens]",-0.07,0.968451622,19.271990488543025,648229.6735,617897.1478,no hit,bf-GPI
KPNA2,AAH05978.1,"Karyopherin alpha 2 (RAG cohort 1, importin alpha 1) [OS=Homo sapiens]",-0.07,0.903126189,25.153804830179418,32343172.69,42315412.33,no hit,bf-GPI
SERPINH1,NP_001226.2,serpin H1 precursor [OS=Homo sapiens],-0.07,0.903090206,28.239941027731234,286100476.7,347914213.7,no hit,bf-GPI
CAST,NP_001741.4,Calpastatin isoform a [OS=Homo sapiens],-0.07,0.902205224,25.732882259456247,55563010.58,55968974.16,no hit,bf-GPI
WDR36,NP_644810.1,WD repeat-containing protein 36 [OS=Homo sapiens],-0.07,0.963954914,22.1637553163325,4434374.941,4962537.116,no hit,bf-GPI
BAF85500.1,BAF85500.1,unnamed protein product [OS=Homo sapiens],-0.07,0.948195036,23.013322698985714,6065796.81,10867067.49,no hit,bf-GPI
NES,EAW52925.1,"nestin, isoform CRA_c [OS=Homo sapiens]",-0.07,0.948195036,23.37269186435999,17486043.62,4236532.425,no hit,bf-GPI
"A0=heterogeneous nuclear ribonucleoprotein [human, placenta, Peptide, 305 aa]",AAB50657.1,A0=heterogeneous nuclear ribonucleoprotein [OS=Homo sapiens],-0.07,0.898424455,24.32809648509143,20284829.27,21837926.41,no hit,bf-GPI
SUN1,O94901.3,RecName: Full=SUN domain-containing protein 1; AltName: Full=Protein unc-84 homolog A; AltName: Full=Sad1/unc-84 protein-like 1 [OS=Homo sapiens],-0.07,0.963954914,21.059944243513478,2153922.394,2218326.937,no hit,bf-GPI
HARS1,NP_001244970.1,"histidine--tRNA ligase, cytoplasmic isoform 3 [OS=Homo sapiens]",-0.07,0.907663765,24.234991947630892,21003346.15,18486870.52,no hit,bf-GPI
AP2A1,XP_011524858.1,PREDICTED: AP-2 complex subunit alpha-1 isoform X1 [OS=Homo sapiens],-0.07,0.933207228,23.655354522458925,12753244.84,13670919.7,no hit,bf-GPI
DPI,AAA85135.1,desmoplakin I [OS=Homo sapiens],-0.07,0.963954914,21.316483943484172,3552426.227,1670706.533,no hit,bf-GPI
HSPA8,NP_006588.1,heat shock cognate 71 kDa protein isoform 1 [OS=Homo sapiens],-0.07,0.89703708,27.85102765251221,280432052.1,203767885.5,no hit,bf-GPI
"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide [Homo sapiens]",AAV38817.1,"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide [OS=Homo sapiens]",-0.07,0.913513189,24.17611393900757,22313372.05,15597648,no hit,bf-GPI
"replication protein A1, 70kDa variant, partial [Homo sapiens]",BAD92969.1,"replication protein A1, 70kDa variant, partial [OS=Homo sapiens]",-0.07,0.895337239,24.663611020463538,22551250.18,30600395.32,no hit,bf-GPI
CPSF6,XP_005268645.1,PREDICTED: cleavage and polyadenylation specificity factor subunit 6 isoform X1 [OS=Homo sapiens],-0.07,0.962727712,22.555665982992902,5747840.423,6582129.827,no hit,bf-GPI
"DEAD box polypeptide 17 isoform p82 variant, partial [Homo sapiens]",BAD92832.1,"DEAD box polypeptide 17 isoform p82 variant, partial [OS=Homo sapiens]",-0.07,0.894311054,24.44568887191107,24018416.51,21681521.48,no hit,bf-GPI
GDAP1,XP_016869074.1,PREDICTED: ganglioside-induced differentiation-associated protein 1 isoform X2 [OS=Homo sapiens],-0.07,0.99616346,16.036502442348336,68919.80559,65510.83135,no hit,bf-GPI
N-acetylglucosamide-(beta 1-4)-galactosyltransferase [Homo sapiens],CAA31611.1,N-acetylglucosamide-(beta 1-4)-galactosyltransferase [OS=Homo sapiens],-0.07,0.931947543,23.87497634660208,15759264,15009781.34,no hit,bf-GPI
CPT1A,XP_005273819.1,"PREDICTED: carnitine O-palmitoyltransferase 1, liver isoform isoform X1 [OS=Homo sapiens]",-0.07,0.959494495,22.356942763582545,5006390.206,5736975.98,no hit,bf-GPI
unknown protein [Homo sapiens],AAQ09021.1,unknown protein [OS=Homo sapiens],-0.07,0.942622417,23.039655772316532,8259273.229,8985499.412,no hit,bf-GPI
COPS4,NP_001317656.1,COP9 signalosome complex subunit 4 isoform 3 [OS=Homo sapiens],-0.07,0.924931243,23.558709088895192,12528047.77,12183963.34,no hit,bf-GPI
PFAS,AAI46769.1,Phosphoribosylformylglycinamidine synthase [OS=Homo sapiens],-0.07,0.890143437,24.902829391259967,26567981.27,36169722.51,no hit,bf-GPI
GPX7,NP_056511.2,glutathione peroxidase 7 precursor [OS=Homo sapiens],-0.08,0.96640439,19.079152604940884,568274.3585,539438.5625,no hit,bf-GPI
SEC22B,O75396.4,RecName: Full=Vesicle-trafficking protein SEC22b; AltName: Full=ER-Golgi SNARE of 24 kDa; Short=ERS-24; Short=ERS24; AltName: Full=SEC22 vesicle-trafficking protein homolog B; AltName: Full=SEC22 vesicle-trafficking protein-like 1 [OS=Homo sapiens],-0.08,0.887993875,25.61852896447062,53277407.12,49755430,no hit,bf-GPI
sorbitol dehydrogenase [Homo sapiens],AAA66064.1,Sorbitol dehydrogenase [OS=Homo sapiens],-0.08,0.941199969,22.982035054308316,8526265.692,8043329.882,no hit,bf-GPI
"hCG2016942, isoform CRA_d [Homo sapiens]",EAW74541.1,"hCG2016942, isoform CRA_d [OS=Homo sapiens]",-0.08,0.939431609,22.98279930959064,9056005.704,7522369.796,no hit,bf-GPI
DKFZp566E144,CAB53690.1,Hypothetical protein [OS=Homo sapiens],-0.08,0.935239812,21.636912273242718,2984405.227,3537727.063,no hit,bf-GPI
MSTP005 [Homo sapiens],AAQ13507.1,MSTP005 [OS=Homo sapiens],-0.08,0.924326637,23.65186825613898,13305044.24,13055343.51,no hit,bf-GPI
IPO5,O00410.4,RecName: Full=Importin-5; Short=Imp5; AltName: Full=Importin subunit beta-3; AltName: Full=Karyopherin beta-3; AltName: Full=Ran-binding protein 5; Short=RanBP5 [OS=Homo sapiens],-0.08,0.886651341,26.42823147254097,93351206.09,87249898.1,no hit,bf-GPI
FOE [Homo sapiens],AAO14651.1,FOE [OS=Homo sapiens],-0.08,0.963428384,19.8823749340784,1009429.874,923522.8662,no hit,bf-GPI
"translocase of inner mitochondrial membrane 44 homolog, partial [Homo sapiens]",BAD96782.1,"translocase of inner mitochondrial membrane 44 homolog, partial [OS=Homo sapiens]",-0.08,0.959494495,22.26934179960109,5129872.163,4980563.293,no hit,bf-GPI
BAG1,Q99933.4,RecName: Full=BAG family molecular chaperone regulator 1; Short=BAG-1; AltName: Full=Bcl-2-associated athanogene 1 [OS=Homo sapiens],-0.08,0.935239812,23.051185697413285,9168013.638,8215130.297,no hit,bf-GPI
BAG53005.1,BAG53005.1,unnamed protein product [OS=Homo sapiens],-0.08,0.885551993,25.017048826393822,35577620.63,32328996.41,no hit,bf-GPI
AHNAK2,NP_612429.2,protein AHNAK2 isoform 1 [OS=Homo sapiens],-0.08,0.955827092,20.693256097221976,1896671.43,1494273.907,no hit,bf-GPI
FKBP2,AAH91475.1,"FK506 binding protein 2, 13kDa [OS=Homo sapiens]",-0.08,0.99616346,16.445654882334626,91634.68931,86876.48773,no hit,bf-GPI
NCEH1,Q6PIU2.3,RecName: Full=Neutral cholesterol ester hydrolase 1; Short=NCEH; AltName: Full=Arylacetamide deacetylase-like 1 [OS=Homo sapiens],-0.08,0.95868588,21.354380377795504,2664766.515,2697384.343,no hit,bf-GPI
PSMD13,EAW61235.1,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 13, isoform CRA_b [OS=Homo sapiens]",-0.08,0.914347516,23.948464518068377,16786565.86,15590401.37,no hit,bf-GPI
TAGLN,EAW67300.1,"transgelin, isoform CRA_c [OS=Homo sapiens]",-0.08,0.884586649,25.004321431009604,31380775.28,35929407.15,no hit,bf-GPI
FUBP3,NP_003925.1,Far upstream element-binding protein 3 [OS=Homo sapiens],-0.08,0.91654556,23.59471800002711,11690443.85,13646128.02,no hit,bf-GPI
sialyltransferase [Homo sapiens],AAA36612.1,sialyltransferase [OS=Homo sapiens],-0.08,0.99616346,16.651123079770386,105718.9537,100115.2313,no hit,bf-GPI
PPP2CA,CAG33698.1,PPP2CA [OS=Homo sapiens],-0.08,0.935428909,23.317659362988017,10172335.96,10737223.97,no hit,bf-GPI
por,AAA60144.1,"porin, partial [OS=Homo sapiens]",-0.08,0.882427611,25.514772542947565,44957916.99,50925138.16,no hit,bf-GPI
BAG37182.1,BAG37182.1,unnamed protein product [OS=Homo sapiens],-0.08,0.956220282,22.74621854197407,6548492.371,7522478.524,no hit,bf-GPI
TTC1,AAH00942.1,Tetratricopeptide repeat domain 1 [OS=Homo sapiens],-0.08,0.951982885,20.645811198299736,1773755.165,1507488.265,no hit,bf-GPI
DHFR,EAW95859.1,"dihydrofolate reductase, isoform CRA_a [OS=Homo sapiens]",-0.08,0.919305037,23.669381275541706,14511987.43,12170341.79,no hit,bf-GPI
GSTZ1,O43708.3,RecName: Full=Maleylacetoacetate isomerase; Short=MAAI; AltName: Full=GSTZ1-1; AltName: Full=Glutathione S-transferase zeta 1 [OS=Homo sapiens],-0.08,0.953270813,21.409302910708302,2865907.844,2704312.281,no hit,bf-GPI
BAG53511.1,BAG53511.1,unnamed protein product [OS=Homo sapiens],-0.08,0.99616346,16.895151129522326,167869.5826,75898.73889,no hit,bf-GPI
TPM2,NP_998839.1,tropomyosin beta chain isoform Tpm2.1sm/cy [OS=Homo sapiens],-0.08,0.915593151,23.537469434739343,12127839.69,12223021.08,no hit,bf-GPI
ITGB4BP,EAW76220.1,"integrin beta 4 binding protein, isoform CRA_b [OS=Homo sapiens]",-0.08,0.903844746,23.952331608343655,12916793.79,19547075.11,no hit,bf-GPI
SAAL1,AAH12010.1,Serum amyloid A-like 1 [OS=Homo sapiens],-0.08,0.96640439,19.33357243460052,723705.3394,597636.6064,no hit,bf-GPI
C1orf198,NP_116189.1,Uncharacterized protein C1orf198 isoform 1 [OS=Homo sapiens],-0.08,0.990922174,18.372367184796968,342207.4795,336470.2678,no hit,bf-GPI
"DNA-binding protein B, partial [Homo sapiens]",AAA35750.1,"DNA-binding protein B, partial [OS=Homo sapiens]",-0.08,0.927977246,23.41891979217183,12165298.41,10264600.65,no hit,bf-GPI
DDX6,NP_004388.2,Probable ATP-dependent RNA helicase DDX6 [OS=Homo sapiens],-0.08,0.92752425,23.00953980875864,10415518.49,6473004.311,no hit,bf-GPI
ABHD11,NP_683710.1,protein ABHD11 isoform 1 [OS=Homo sapiens],-0.08,0.964845464,19.668556213646,794698.2406,871993.8996,no hit,bf-GPI
