"accession","gene_symbol"
"XP_005269298.1","SART3"""
"XP_011528141.1","CHEK2"""
"NP_002884.1","RBBP7"""
"EAX04837.1","FLJ11184"""
"NP_689926.1","STT3A"""
"CAD98075.1","DKFZp686M0448"""
"NP_056281.1","PTPN23"""
"EAW49686.1","ACTR1A"""
"BAB55264.1","unnamed protein product [Homo sapiens]"
"AAG45339.1","C1orf28 [Homo sapiens]"
"NP_001258708.1","PSMD6"""
"Q8IXH7.2","NELFCD"""
"NP_006010.2","TCIRG1"""
"AAB67978.1","SKI2W"""
"NP_055535.2","SLK"""
"NP_001887.1","CSNK2A2"""
"XP_006721929.1","ITGB4"""
"BAG50909.1","unnamed protein product [Homo sapiens]"
"NP_008878.3","SRP72"""
"AAD42744.1","DP103"""
"EAX06811.1","OSBPL9"""
"EAW98532.1","PUS1"""
"AAP97164.1","NADH dehydrogenase [Homo sapiens]"
"Q8IZL8.2","PELP1"""
"XP_011539528.1","PHGDH"""
"NP_886552.2","TRNT1"""
"Q99873.2","PRMT1"""
"EAW75764.1","NCOA5"""
"AAQ15252.1","PP13296 [Homo sapiens]"
"NP_077305.2","EFHD2"""
"NP_055969.1","MESD"""
"NP_001035754.1","PPAN-P2RY11"""
"BAF82705.1","unnamed protein product [Homo sapiens]"
"NP_001139699.1","RPS20"""
"AAQ88940.1","disulfide isomerase [Homo sapiens]"
"NP_005057.1","SFPQ"""
"NP_002532.2","OGDH"""
"XP_016881278.1","ATP5F1A"""
"BAB15159.1","unnamed protein product [Homo sapiens]"
"XP_011521615.1","FTO"""
"XP_005270469.1","TOE1"""
"AAH30618.1","PLBD2"""
"ALQ33816.1","TGFBI"""
"NP_061865.1","KCTD5"""
"XP_016880042.1","ACACA"""
"P30837.3","ALDH1B1"""
"BAC11615.1","unnamed protein product [Homo sapiens]"
"NP_001997.5","FGF2"""
"AAH14895.2","ALDH16A1"""
"ABQ59034.1","RAB11B"""
"BAD96889.1","phosphoribosyl pyrophosphate synthetase 1 variant, partial [Homo sapiens]"
"AAF06147.1","B5R.1"""
"CAG38759.1","ANXA5"""
"NP_006105.1","TOMM40"""
"CAD97622.1","DKFZp686L1882"""
"AAH34965.1","EFHA1"""
"BAG35498.1","unnamed protein product [Homo sapiens]"
"NP_071908.2","NXN"""
"NP_004915.2","ACTN4"""
"AAH01491.1","HMOX1"""
"BAD93116.1","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 isoform b variant, partial [Homo sapiens]"
"AAI08915.1","LRRFIP1"""
"AAP57628.1","interferon-inducible double-stranded RNA-dependent protein kinase [Homo sapiens]"
"NP_060283.3","BPNT2"""
"BAA11486.1","KIAA0169"""
"AAB47488.1","tenascin X [Homo sapiens]"
"NP_001184222.1","DPYSL2"""
"XP_005253223.1","ARFGAP2"""
"EAW58845.1","TMOD1"""
"EAW79790.1","PCNP"""
"NP_003680.2","AKR7A2"""
"NP_001116827.1","PPP6C"""
"EAW93951.1","C7orf24"""
"NP_006126.1","CAPZA1"""
"AAH56143.1","DIS3"""
"AAC50629.1","neutral amino acid transporter B [Homo sapiens]"
"AAH26196.1","ACO2"""
"BAC86977.1","unnamed protein product [Homo sapiens]"
"NP_002851.2","ALDH18A1"""
"BAD97042.1","splicing factor 3b, subunit 4 variant, partial [Homo sapiens]"
"Q49A26.3","GLYR1"""
"XP_011520054.2","UACA"""
"XP_016872416.1","PTER"""
"AAH81561.1","H3F3A"""
"AAH16812.1","ATP5C1"""
"NP_001316607.1","PAXX"""
"Q3ZCQ8.2","TIMM50"""
"EAW97759.1","KIAA1033"""
"EAW88521.1","DNM1L"""
"XP_011522063.1","MPRIP"""
"BAD96347.1","galactosidase, alpha variant, partial [Homo sapiens]"
"AAH05387.1","AKR1B1"""
"CAA73025.1","SRP3"""
"BAE06097.2","MYO1C variant protein"""
"BAD92119.1","chaperonin containing TCP1, subunit 3 (gamma) variant, partial [Homo sapiens]"
"AAC39751.1","TIP47"""
"AAH44575.1","WARS2"""
"BAD97161.1","heterogeneous nuclear ribonucleoprotein H3 isoform a variant, partial [Homo sapiens]"
"NP_008868.3","SUMO2"""
"NP_061185.1","RCC2"""
"BAD97137.1","cytosolic malic enzyme 1 variant, partial [Homo sapiens]"
"AAH05960.1","ATP5F1"""
"XP_016855583.1","NUDC"""
"NP_004102.1","FEN1"""
"AAB62724.1","SCAMP3"""
"NP_057071.2","HEBP1"""
"NP_001124163.1","PPP3CA"""
"BAG50848.1","unnamed protein product [Homo sapiens]"
"P21127.3","CDK11B"""
"CCF77345.1","MTAP"""
"NP_060037.3","NAGK"""
"NP_006808.1","ERP29"""
"XP_005264612.1","CAD"""
"NP_009027.1","CLTA"""
"NP_001117.2","ADSS2"""
"EAW53218.1","UBAP2L"""
"BAF83305.1","unnamed protein product [Homo sapiens]"
"AAH15804.1","SF3A2"""
"AAD09325.1","ATP sulfurylase/APS kinase [Homo sapiens]"
"XP_011534258.1","PDSS2"""
"NP_055693.4","PUM3"""
"BAF83366.1","unnamed protein product [Homo sapiens]"
"CAB76830.1","KRTHB5"""
"NP_001258851.1","SEC11A"""
"XP_016877212.1","ACTN1"""
"AAH30614.1","KTELC1"""
"AAB24841.1","Tat binding protein 7, TBP-7=transcriptional activator [human, Peptide, 458 aa]"
"AAQ88996.1","C3orf1 [Homo sapiens]"
"AAA61138.1","transcription elongation factor SII"""
"NP_005653.3","VDAC3"""
"AAH66326.1","RPL27A"""
"XP_016859428.1","HADHB"""
"AAH38115.1","DDX60"""
"NP_001035526.1","YARS2"""
"XP_005247012.1","TRIP12"""
"BAG70165.1","SSB"""
"NP_001124151.1","EIF4E"""
"AAP97139.1","p47 [Homo sapiens]"
"AAH30634.1","HSPA9"""
"NP_001035879.1","PSPC1"""
"BAD93059.1","ADP,ATP carrier protein, liver isoform T2 variant, partial [Homo sapiens]"
"NP_001340975.1","ARHGEF7"""
"AAF65181.1","HDCMA39P, partial [Homo sapiens]"
"XP_016855120.1","LOC101930123"""
"BAF31287.1","BAT1"""
"ABB29977.1","DNA-directed polymerase delta 1 [Homo sapiens]"
"NP_001171725.1","ESYT1"""
"EAW95259.1","MKI67IP"""
"Q16643.4","DBN1"""
"XP_005269031.1","PFKM"""
"AAA60064.1","PEPD"""
"XP_016874530.1","MON2"""
"EAW85111.1","PARN"""
"AAO85780.1","gamma-catenin [Homo sapiens]"
"NP_004640.4","GATD3"""
"AAD26137.1","NCC27"""
"EAW81759.1","DYNC1H1"""
"BAA09927.2","KIAA0157"""
"BAD96247.1","low density lipoprotein receptor-related protein associated protein 1 variant, partial [Homo sapiens]"
"Q13907.2","IDI1"""
"NP_001598.1","ACAA1"""
"BAA23651.1","proteasome subunit p58 [Homo sapiens]"
"NP_835227.1","RETREG3"""
"BAG51901.1","unnamed protein product [Homo sapiens]"
"NP_031381.2","HSP90AB1"""
"NP_001304160.1","MTCH2"""
"NP_001531.1","HSPB1"""
"CAD29858.1","RNPEP"""
"EAW84079.1","DNMT1"""
"CAA52862.1","RNA polymerase II largest subunit [Homo sapiens]"
"AAH28337.1","GCS1"""
"XP_005271584.1","THYN1"""
"NP_005819.3","DCAF7"""
"AAF37203.1","mRNA-binding protein CRDBP [Homo sapiens]"
"BAG53039.1","unnamed protein product [Homo sapiens]"
"AAX07827.1","cell proliferation-inducing protein 40 [Homo sapiens]"
"NP_001611.1","AHNAK"""
"BAB15284.1","unnamed protein product [Homo sapiens]"
"NP_060864.1","ABHD10"""
"EAW82309.1","C8orf55"""
"AAA60580.1","SPTBN1"""
"CAA56074.1","translation initiation factor [Homo sapiens]"
"AAK92018.1","POLD4"""
"AAA58407.2","CTNNA2"""
"XP_005261752.1","RANGAP1"""
"P49411.2","TUFM"""
"BAG59369.1","unnamed protein product [Homo sapiens]"
"NP_067038.1","RPRD1B"""
"NP_001186384.1","BRD2"""
"NP_077297.2","RBM42"""
"NP_002721.1","PRKACA"""
"NP_001230106.1","ALDOA"""
"BAD92710.1","centaurin delta 2 isoform a variant, partial [Homo sapiens]"
"BAH57337.1","KIF5B-ALK"""
"ABO65079.1","peroxiredoxin 6, partial [Homo sapiens]"
"BAD96912.1","enolase 1 variant, partial [Homo sapiens]"
"AEP69243.1","hydroxypyruvate isomerase [Homo sapiens]"
"NP_054706.1","VCL"""
"AAH04922.1","ENDOG"""
"BAG57331.1","unnamed protein product [Homo sapiens]"
"NP_000225.1","LIG1"""
"XP_011517227.1","NIBAN2"""
"EAW73936.1","DDB1"""
"NP_001257655.1","BCL2L13"""
"XP_011515149.1","TMEM65"""
"BAG51120.1","unnamed protein product [Homo sapiens]"
"NP_001274730.1","TBCE"""
"NP_006308.3","BASP1"""
"NP_005372.2","NCL"""
"Q7LBC6.2","KDM3B"""
"AAC33433.1","histone macroH2A1.2 [Homo sapiens]"
"AAH20803.1","DRG1"""
"AAD47056.1","glutaminase C [Homo sapiens]"
"EAW91377.1","IPO9"""
"BAD97053.1","zinc finger, HIT domain containing 2 variant, partial [Homo sapiens]"
"AAP97157.1","CAF2 [Homo sapiens]"
"XP_011508942.1","CPS1"""
"NP_001333154.1","WDR48"""
"XP_016882814.1","UBXN6"""
"ABR25253.1","ubiquitin-activating enzyme 6 [Homo sapiens]"
"NP_150093.1","PURB"""
"XP_006716181.1","CACNA2D1"""
"AAF60355.1","YTM1 [Homo sapiens]"
"XP_016882594.1","UPF1"""
"AAP84320.1","kinesin heavy chain member 2 [Homo sapiens]"
"AAC78729.1","eukaryotic translation initiation factor eIF3, p35 subunit [Homo sapiens]"
"CAG47064.1","CKB"""
"EAW51828.1","hCG2043426, isoform CRA_b [Homo sapiens]"
"AAP37053.1","ischemia/reperfusion inducible protein transcript variant 1 [Homo sapiens]"
"AAG27093.1","FKSG13"""
"XP_016885266.1","UBA1"""
"NP_001273343.1","TUBGCP4"""
"AAH20946.1","TUBB"""
"AAP35506.1","uridine monophosphate kinase [Homo sapiens]"
"AAH30019.2","PRPS2"""
"AAH42923.1","TLN1"""
"XP_016873668.1","SRPRA"""
"NP_001316166.1","NEK9"""
"BAD92749.1","epithelial protein lost in neoplasm beta variant, partial [Homo sapiens]"
"BAG35176.1","unnamed protein product [Homo sapiens]"
"EAX10286.1","SNRPB2"""
"AAP12649.1","TNFAIP2"""
"Q8N6M0.1","OTUD6B"""
"NP_004334.1","CALR"""
"AAH04865.1","CLPTM1"""
"BAG58692.1","unnamed protein product [Homo sapiens]"
"BAB13846.1","unnamed protein product [Homo sapiens]"
"AAC50242.1","Skp2"""
"CAI46036.1","DKFZp686E1899"""
"XP_005272732.1","USP9X"""
"EAW62938.1","hCG24487, isoform CRA_a [Homo sapiens]"
"AAB19349.2","S3 ribosomal protein [Homo sapiens]"
"XP_011518052.1","PLXDC2"""
"NP_001098101.1","PDE4D"""
"AAB97011.1","unknown protein IT12, partial [Homo sapiens]"
"AAH31061.1","MCM4"""
"NP_115914.1","TUBB6"""
"XP_016880484.1","UBTF"""
"CAB66600.1","DKFZp564I206"""
"BAG61534.1","unnamed protein product [Homo sapiens]"
"EAW58883.1","TBC1D2"""
"BAD96786.1","mitochondrial ribosomal protein L24 variant, partial [Homo sapiens]"
"AAQ54327.1","SLC25A19"""
"AAH40185.1","DDX51"""
"BAG64911.1","unnamed protein product [Homo sapiens]"
"NP_001317569.1","DENND4C"""
"NP_000413.1","KRT17"""
"AAA36398.1","proliferating cell nuclear protein P120, partial [Homo sapiens]"
"AAG09679.1","cd002 protein [Homo sapiens]"
"AAP83846.1","C4orf1"""
"NP_076983.1","NOC4L"""
"BAD92219.1","stearoyl-CoA desaturase variant, partial [Homo sapiens]"
"NP_005711.1","ARPC1B"""
"BAA11529.1","a member of the short-chain alcohol dehydrogenase family, partial [Homo sapiens]"
"BAG62363.1","unnamed protein product [Homo sapiens]"
"AAQ01550.1","TCTP [Homo sapiens]"
"XP_011525317.1","NOSIP"""
"BAC11187.1","unnamed protein product [Homo sapiens]"
"BAA92063.1","unnamed protein product [Homo sapiens]"
"AAH15937.1","PAIP1"""
"XP_005259725.1","KHSRP"""
"BAD97247.1","folate receptor 1 precursor variant, partial [Homo sapiens]"
"EAW75373.1","LAMA5"""
"NP_003396.1","YWHAH"""
"NP_001304310.1","HSPA4L"""
"AAI43355.1","USP48"""
"BAF82211.1","unnamed protein product [Homo sapiens]"
"P58107.2","EPPK1"""
"EAW68950.1","ELAVL1"""
"AAH10578.2","TARS"""
"AAC78728.1","translation initiation factor eIF3 p44 subunit [Homo sapiens]"
"AAF61403.1","SWAP-70 homolog [Homo sapiens]"
"NP_004528.1","NAP1L1"""
"BAG51838.1","unnamed protein product [Homo sapiens]"
"O15533.1","TAPBP"""
"AAA36651.1","52-kD SS-A/Ro autoantigen [Homo sapiens]"
"BAF83562.1","unnamed protein product [Homo sapiens]"
"NP_001122385.1","PCBP2"""
"NP_001258665.1","COPZ1"""
"AAM17922.1","TFG/ALK fusion"""
"EAX05489.1","PAICS"""
"NP_112740.1","HNRNPDL"""
"BAD96916.1","proteasome 26S non-ATPase subunit 11 variant, partial [Homo sapiens]"
"NP_060289.2","TRMT10C"""
"BAD96693.1","isocitrate dehydrogenase 3 (NAD+) alpha precursor variant, partial [Homo sapiens]"
"BAD96692.1","Full-length cDNA 5-PRIME end of clone CS0DF013YM24 of Fetal brain of Homo sapiens (human) (Fragment) variant, partial [Homo sapiens]"
"P52948.4","NUP98"""
"BAD92533.1","syntaxin 16 isoform a variant, partial [Homo sapiens]"
"NP_003371.2","VIM"""
"BAF85492.1","unnamed protein product [Homo sapiens]"
"BAG61157.1","unnamed protein product [Homo sapiens]"
"NP_000098.1","DDB2"""
"Q9H3P2.3","NELFA"""
"NP_000393.4","G6PD"""
"AAP86324.1","FHA-HIT isoform [Homo sapiens]"
"AAA60261.1","RECQL"""
"AAB02546.1","Gu protein, partial [Homo sapiens]"
"BAF85731.1","unnamed protein product [Homo sapiens]"
"NP_009123.1","SUPT16H"""
"BAG64601.1","unnamed protein product [Homo sapiens]"
"AAH01238.1","DDX18"""
"Q15334.3","LLGL1"""
"BAD97275.1","serine hydroxymethyltransferase 2 (mitochondrial) variant, partial [Homo sapiens]"
"AAD02437.1","MIPP"""
"AAH36710.1","FTSJ3"""
"EAW97077.1","TSFM"""
"AAC62628.1","OVCA2"""
"AAF29136.1","HSPC173 [Homo sapiens]"
"AAH68467.1","NCAPG"""
"NP_001193997.1","BZW1"""
"AAP35997.1","catenin (cadherin-associated protein), delta 1 [Homo sapiens]"
"NP_001258522.1","PPME1"""
"BAD74067.1","C2orf4"""
"BAF82703.1","unnamed protein product [Homo sapiens]"
"XP_005263479.1","UBE4B"""
"ABQ66265.1","AQR"""
"AAD27650.1","BECN1"""
"AAH14546.1","ACTR2"""
"XP_016876870.1","PPM1A"""
"BAD97328.1","tyrosyl-tRNA synthetase variant, partial [Homo sapiens]"
"AAH10087.1","PGM2"""
"NP_001129511.1","NIF3L1"""
"AAH70049.1","LANCL2"""
"NP_003906.2","CPNE1"""
"EAW96839.1","hCG2016179, isoform CRA_f [Homo sapiens]"
"EAW68341.1","HTATIP2"""
"NP_001029097.1","TIAL1"""
"AAL83818.1","BRIX [Homo sapiens]"
"Q7Z7K6.1","CENPV"""
"A0FGR8.1","ESYT2"""
"NP_055045.2","SRP68"""
"EAW90337.1","C1QBP"""
"NP_789839.1","PSME3"""
"XP_005251033.1","PLEC"""
"XP_016884680.1","HUWE1"""
"NP_001290362.1","FUBP1"""
"Q92616.6","GCN1"""
"XP_006717308.1","SPTAN1"""
"BAA92611.1","KIAA1373"""
"AAK49524.1","U4/U6.U5 tri-snRNP-associated 65 kDa protein [Homo sapiens]"
"NP_006657.1","RUVBL2"""
"EAX07023.1","RPS8"""
"AAD30280.1","ENDO180"""
"NP_073587.1","PARP12"""
"XP_011538278.1","TM9SF3"""
"NP_001032242.1","FOXK1"""
"NP_055077.2","P3H3"""
"AAQ18036.1","TRG14"""
"NP_001035982.1","DIAPH3"""
"AAN65622.1","TMBS62"""
"P25205.3","MCM3"""
"EAW59030.1","IKBKAP"""
"AAH19832.1","B3GAT3"""
"XP_005251820.1","DNM1"""
"NP_077315.2","THOC6"""
"NP_036450.1","LETM1"""
"XP_016866493.1","PRIM2"""
"Q9BWM7.3","SFXN3"""
"EAW94269.1","PSMC5"""
"BAB15001.1","unnamed protein product [Homo sapiens]"
"BAD97014.1","DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 variant, partial [Homo sapiens]"
"NP_006712.2","ADK"""
"BAF83082.1","unnamed protein product [Homo sapiens]"
"XP_011529261.1","MSN"""
"NP_001018006.1","TPM1"""
"XP_011522506.1","SEPT9"""
"NP_001308765.1","CPSF3"""
"BAF83464.1","unnamed protein product [Homo sapiens]"
"AAG36783.1","MLE1"""
"CAA62690.1","de-ubiquitinase [Homo sapiens]"
"AAH78181.1","IRF2BP1"""
"NP_001308498.1","CAMK2D"""
"XP_005257069.1","CLTC"""
"Q00341.2","HDLBP"""
"BAG65428.1","unnamed protein product [Homo sapiens]"
"AAQ01660.1","CUL3"""
"XP_011542237.1","GRIPAP1"""
"BAG58182.1","unnamed protein product [Homo sapiens]"
"AAC35008.1","CSE1"""
"EAW64954.1","QARS"""
"BAD96645.1","beta actin variant, partial [Homo sapiens]"
"O75592.3","MYCBP2"""
"NP_055422.1","UBXN4"""
"XP_011524044.1","SEH1L"""
"NP_001269581.1","STIP1"""
"AAH28182.1","NCAPD2"""
"NP_001027454.1","TMPO"""
"CAD97956.1","DKFZp686I0180"""
"BAB47490.2","KIAA1861"""
"CAA28352.1","unnamed protein product [Homo sapiens]"
"BAD96696.1","proteasome alpha 2 subunit variant, partial [Homo sapiens]"
"XP_006724878.1","HCFC1"""
"BAG60547.1","unnamed protein product [Homo sapiens]"
"XP_016882424.1","PPP5C"""
"XP_016877512.1","CYFIP1"""
"NP_001276718.1","GPI"""
"NP_005338.1","HSPA5"""
"BAF85066.1","unnamed protein product [Homo sapiens]"
"ABO65092.1","N-myc-interactor, partial [Homo sapiens]"
"AAQ24860.1","nucleophosmin [Homo sapiens]"
"EAW72738.1","RPL10"""
"NP_001291217.1","RPSA"""
"BAA09472.2","KIAA0123"""
"NP_001427.2","FBL"""
"NP_001305832.1","TPD52L1"""
"AAF29122.1","HSPC158 [Homo sapiens]"
"EAX06493.1","SERBP1"""
"EAW97275.1","TBC1D15"""
"NP_787117.3","RIMOC1"""
"AAH67823.1","CACYBP"""
"BAD92747.1","EBNA-2 co-activator variant, partial [Homo sapiens]"
"AAC50064.1","ITPR3"""
"NP_001157789.1","FLNB"""
"AAQ15199.1","FP1047 [Homo sapiens]"
"XP_005258516.1","HNRNPUL1"""
"BAD97315.1","ribophorin I variant, partial [Homo sapiens]"
"EAW83689.1","FLNC"""
"EAW84148.1","DNM2"""
"NP_001166925.1","PDHA1"""
"NP_004636.1","COIL"""
"AAH36370.1","HSPA13"""
"NP_004199.1","AIFM1"""
"NP_612451.1","CCDC124"""
"NP_004860.2","VPS4B"""
"BAD96760.1","solute carrier family 16, member 3 variant, partial [Homo sapiens]"
"NP_060064.2","DIRAS2"""
"BAD97316.1","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) variant, partial [Homo sapiens]"
"NP_055100.2","EXOSC2"""
"BAD96203.1","eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa variant, partial [Homo sapiens]"
"BAG37187.1","unnamed protein product [Homo sapiens]"
"BAA91997.1","unnamed protein product [Homo sapiens]"
"EAW94874.1","C1orf33"""
"NP_060518.1","MAGOHB"""
"BAG70182.1","RFC2"""
"CAG33714.1","SNW1"""
"BAG35354.1","unnamed protein product [Homo sapiens]"
"NP_001316501.1","MRI1"""
"NP_060277.1","OSGEP"""
"EAW71815.1","RPS4X"""
"EAW83856.1","NUP205"""
"NP_001894.2","CTNNA1"""
"AAQ01749.1","SGT1B protein [Homo sapiens]"
"NP_055224.1","TAF5L"""
"NP_803193.2","PPFIBP1"""
"AAG39278.1","MST017"""
"BAG70058.1","U2AF1"""
"EAW54315.1","SUPV3L1"""
"NP_112420.1","HNRNPA1"""
"AAH02700.1","KRT7"""
"AAP97680.1","kinesin-like protein KIF2 [Homo sapiens]"
"BAA22197.1","GTPase-activating protein [Homo sapiens]"
"XP_005261252.2","PDXK"""
"NP_001317968.1","TRMT2A"""
"AAH06335.1","ACOT2"""
"EAW83826.1","CALD1"""
"AAH16736.1","HNRPF"""
"BAA11496.1","KIAA0179"""
"XP_005268559.1","TCOF1"""
"EAW98213.1","KIAA0152"""
"NP_001290430.1","CNN2"""
"AAH66955.2","ANXA2"""
"EAW87907.1","TOR1A"""
"XP_006715894.1","SLC25A13"""
"NP_001307582.1","NUP88"""
"AAC51518.1","ERp60"""
"XP_005257624.1","UBE2O"""
"NP_004729.1","VAPB"""
"BAD92940.1","Dihydrolipoamide dehydrogenase, variant, partial [Homo sapiens]"
"EAW78642.1","SMC4L1"""
"XP_005269750.1","MYOF"""
"AAC50572.1","eIF5"""
"EAW48851.1","ALDH7A1"""
"BAC11692.1","unnamed protein product [Homo sapiens]"
"EAW70708.1","ANKZF1"""
"EAW49364.1","BRWD2"""
"EAW60826.1","STAT3"""
"XP_011513536.1","COBL"""
"BAG61335.1","unnamed protein product [Homo sapiens]"
"NP_001093131.1","EIF3CL"""
"AAC72360.1","hCAP-E"""
"XP_005259352.1","CAPNS1"""
"BAH13266.1","unnamed protein product [Homo sapiens]"
"Q9ULA0.1","DNPEP"""
"AAB32200.1","apolipoprotein D, apoD [human, plasma, Peptide, 246 aa]"
"NP_036611.2","YWHAG"""
"BAF83740.1","unnamed protein product [Homo sapiens]"
"AAH05046.1","VTN"""
"BAD97327.1","MURR1 variant, partial [Homo sapiens]"
"XP_006719021.1","CHD4"""
"AAO73880.2","DPP9"""
"EAW89326.1","WBP2"""
"BAD92713.1","importin 4 variant, partial [Homo sapiens]"
"BAG35212.1","unnamed protein product [Homo sapiens]"
"NP_000138.2","FUCA1"""
"NP_127492.1","GTF2I"""
"EAW56972.1","BLVRB"""
"EAW98515.1","RAN"""
"NP_001091868.1","COPA"""
"BAD93159.1","DnaJ (Hsp40) homolog, subfamily B, member 4 variant, partial [Homo sapiens]"
"BAG70037.1","CCT2"""
"NP_001012680.1","SLC3A2"""
"AAH17801.1","BPNT1"""
"BAD96714.1","FUS interacting protein (serine-arginine rich) 1 isoform 2 variant, partial [Homo sapiens]"
"NP_003290.1","HSP90B1"""
"NP_001186913.1","NDUFS1"""
"EAW53671.1","TFRC"""
"XP_005253288.1","CD44"""
"AAF34185.2","HCA56"""
"EAW60315.1","RPL3"""
"AAB35421.1","type I keratin 16, K16"""
"EAW56845.1","SARS2"""
"AAA59546.1","HME1"""
"EAW74770.1","CTTN"""
"AAC23685.1","embryonic ectoderm development protein, partial [Homo sapiens]"
"NP_001026976.1","ALDH3A2"""
"XP_005257825.1","SPAG9"""
"CAH18695.1","DKFZp686B1823"""
"CAG47015.1","G22P1"""
"AAM93544.1","NAG"""
"NP_004747.1","NUMBL"""
"XP_011528279.1","ADSL"""
"AAH66306.1","SUMO1"""
"XP_006712541.1","AGFG1"""
"P20020.3","ATP2B1"""
"NP_001290203.1","ACLY"""
"NP_006301.3","NPEPPS"""
"NP_001748.1","CBR1"""
"P15151.2","PVR"""
"CAE45812.1","DKFZp451I037"""
"AAH01127.1","RPLP0"""
"NP_001338099.1","NT5C2"""
"EAW54323.1","HK1"""
"NP_115679.2","HSDL2"""
"Q5VU97.2","CACHD1"""
"AAD01798.1","hTOM"""
"NP_060308.1","NHP2"""
"AAF86466.1","TRX1"""
"BAA91752.1","unnamed protein product [Homo sapiens]"
"XP_005274035.1","INPPL1"""
"AAH50036.1","CSNK2A1"""
"XP_005264900.1","OSBPL10"""
"CAA30894.1","GSTP1"""
"NP_054828.2","ATAD2"""
"Q63HN8.3","RNF213"""
"EAW92955.1","SCC-112"""
"AAC27345.1","GPAT"""
"XP_011511944.1","LIMCH1"""
"BAA95667.1","leucyl tRNA synthetase [Homo sapiens]"
"BAD96324.1","ribosomal protein L5 variant, partial [Homo sapiens]"
"NP_003365.1","VDAC1"""
"BAD92356.1","eukaryotic translation initiation factor 4 gamma, 3 variant, partial [Homo sapiens]"
"BAG58215.1","unnamed protein product [Homo sapiens]"
"AAH48980.1","PRKAA1"""
"EAW64152.1","NUP210"""
"NP_057542.2","HGH1"""
"AAD34046.1","CGI-51 protein [Homo sapiens]"
"XP_011524077.1","PPP4R1"""
"BAA09534.1","P1cdc47"""
"EAW96654.1","KRT8"""
"NP_001014437.1","CARS1"""
"ALQ33605.1","INPP1"""
"AAH40013.1","EARS2"""
"XP_006715910.1","BUD23"""
"NP_006236.1","PPP2R5D"""
"AAH04102.1","ALDH3A1"""
"AAF86954.1","GK001"""
"AAP97146.1","sly1p [Homo sapiens]"
"AAL57218.1","FNP001 [Homo sapiens]"
"BAG35769.1","unnamed protein product [Homo sapiens]"
"NP_036557.1","RSU1"""
"AAA86463.1","Csa-19 [Homo sapiens]"
"AAH08674.1","ERO1L"""
"XP_011541883.1","YTHDC2"""
"NP_079097.1","CCDC134"""
"NP_002464.1","MYH9"""
"BAH12875.1","unnamed protein product [Homo sapiens]"
"O95466.3","FMNL1"""
"NP_079152.3","COQ8B"""
"AAH05978.1","KPNA2"""
"NP_001226.2","SERPINH1"""
"NP_001741.4","CAST"""
"NP_644810.1","WDR36"""
"BAF85500.1","unnamed protein product [Homo sapiens]"
"EAW52925.1","NES"""
"AAB50657.1","A0=heterogeneous nuclear ribonucleoprotein [human, placenta, Peptide, 305 aa]"
"O94901.3","SUN1"""
"NP_001244970.1","HARS1"""
"XP_011524858.1","AP2A1"""
"AAA85135.1","DPI"""
"NP_006588.1","HSPA8"""
"AAV38817.1","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide [Homo sapiens]"
"BAD92969.1","replication protein A1, 70kDa variant, partial [Homo sapiens]"
"XP_005268645.1","CPSF6"""
"BAD92832.1","DEAD box polypeptide 17 isoform p82 variant, partial [Homo sapiens]"
"XP_016869074.1","GDAP1"""
"CAA31611.1","N-acetylglucosamide-(beta 1-4)-galactosyltransferase [Homo sapiens]"
"XP_005273819.1","CPT1A"""
"AAQ09021.1","unknown protein [Homo sapiens]"
"NP_001317656.1","COPS4"""
"AAI46769.1","PFAS"""
"NP_056511.2","GPX7"""
"O75396.4","SEC22B"""
"AAA66064.1","sorbitol dehydrogenase [Homo sapiens]"
"EAW74541.1","hCG2016942, isoform CRA_d [Homo sapiens]"
"CAB53690.1","DKFZp566E144"""
"AAQ13507.1","MSTP005 [Homo sapiens]"
"O00410.4","IPO5"""
"AAO14651.1","FOE [Homo sapiens]"
"BAD96782.1","translocase of inner mitochondrial membrane 44 homolog, partial [Homo sapiens]"
"Q99933.4","BAG1"""
"BAG53005.1","unnamed protein product [Homo sapiens]"
"NP_612429.2","AHNAK2"""
"AAH91475.1","FKBP2"""
"Q6PIU2.3","NCEH1"""
"EAW61235.1","PSMD13"""
"EAW67300.1","TAGLN"""
"NP_003925.1","FUBP3"""
"AAA36612.1","sialyltransferase [Homo sapiens]"
"CAG33698.1","PPP2CA"""
"AAA60144.1","por"""
"BAG37182.1","unnamed protein product [Homo sapiens]"
"AAH00942.1","TTC1"""
"EAW95859.1","DHFR"""
"O43708.3","GSTZ1"""
"BAG53511.1","unnamed protein product [Homo sapiens]"
"NP_998839.1","TPM2"""
"EAW76220.1","ITGB4BP"""
"AAH12010.1","SAAL1"""
"NP_116189.1","C1orf198"""
"AAA35750.1","DNA-binding protein B, partial [Homo sapiens]"
"NP_004388.2","DDX6"""
"NP_683710.1","ABHD11"""
"NP_057707.3","CYRIB"""
"BAG62505.1","unnamed protein product [Homo sapiens]"
