Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score MSPepSearch: MSPepSearch,# Peptides (by Search Engine): MSPepSearch,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio: (Penta) / (Control),Abundance Ratio (log2): (Penta) / (Control),Abundance Ratio Adj. P-Value: (Penta) / (Control),Abundance Ratio Variability [%]: (Penta) / (Control),Abundances (Grouped): Control,Abundances (Grouped): Penta,Abundances (Grouped) CV [%]: Control,Abundances (Grouped) CV [%]: Penta,"Found in Sample: [S1] F1: Sample, Control, 1","Found in Sample: [S2] F2: Sample, Control, 2","Found in Sample: [S3] F3: Sample, Control, 3","Found in Sample: [S4] F4: Sample, Penta, 1","Found in Sample: [S5] F5: Sample, Penta, 2","Found in Sample: [S6] F6: Sample, Penta, 3",# Protein Groups,Modifications
FALSE,High,Master Protein,AAH56143.1,DIS3 mitotic control homolog (S. cerevisiae) [OS=Homo sapiens],0,32.052,11,6,33,6,958,109,7.2,12231,6,0,0,1.05,0.07,0.963954914,71.41,4658614.204,6124209.301,24.09,29.54,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAC50629.1,Neutral amino acid transporter B [OS=Homo sapiens],0,28.047,8,3,26,3,541,56.6,5.36,14861,3,0,0,1.05,0.07,0.940261016,52.22,13376786.9,22722150.14,40.6,24.98,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH26196.1,"aconitase 2, mitochondrial [OS=Homo sapiens]",0,132.791,26,14,144,14,780,85.5,7.72,58140,14,0,0,1.05,0.07,0.942616092,72.08,29461431.85,46868325.94,31.06,24.44,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAC86977.1,unnamed protein product [OS=Homo sapiens],0,176.762,41,16,246,16,492,53.9,5.33,115055,16,0,0,1.05,0.07,0.94314882,56.45,252802419.4,235951271.3,30.85,3.96,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_002851.2,delta-1-pyrroline-5-carboxylate synthase isoform 1 [OS=Homo sapiens],0,106.509,24,16,84,16,795,87.2,7.12,33731,16,0,0,1.05,0.07,0.94314882,57.5,24857155.46,24676715.92,37.33,22.16,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAD97042.1,"splicing factor 3b, subunit 4 variant, partial [OS=Homo sapiens]",0,14.006,9,2,6,2,424,44.4,8.24,2923,2,0,0,1.05,0.07,0.981195482,29.99,1068832.855,1150692.827,17.59,20.74,High,High,High,Peak Found,High,High,1,
FALSE,High,Master Protein,Q49A26.3,RecName: Full=Putative oxidoreductase GLYR1; AltName: Full=3-hydroxyisobutyrate dehydrogenase-like protein; AltName: Full=Cytokine-like nuclear factor N-PAC; AltName: Full=Glyoxylate reductase 1 homolog; AltName: Full=Nuclear protein NP60; AltName: Full=Nuclear protein of 60 kDa [OS=Homo sapiens],0,9.541,5,2,10,2,553,60.5,9.17,3635,2,0,0,1.05,0.07,0.968451622,74.57,1927184.126,1808851.057,42.13,29.96,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_011520054.2,PREDICTED: uveal autoantigen with coiled-coil domains and ankyrin repeats isoform X1 [OS=Homo sapiens],0,3.835,1,1,3,1,1436,164.9,6.93,695,1,0,0,1.049,0.07,0.97210378,55.73,734780.2511,771136.3125,54.6,25.71,Peak Found,High,High,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,XP_016872416.1,PREDICTED: phosphotriesterase-related protein isoform X1 [OS=Homo sapiens],0,5.2,3,1,5,1,370,41.4,6.37,2434,1,0,0,1.049,0.07,0.966040528,44.84,147624.4329,154832.2034,74.96,20.8,Not Found,High,High,High,Peak Found,High,1,
FALSE,High,Master Protein,AAH81561.1,"H3 histone, family 3A [OS=Homo sapiens]",0,76.955,39,6,238,1,136,15.3,11.14,111032,6,0,0,1.048,0.07,0.96640439,102.58,4544895.54,2878909.516,74.13,72.54,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH16812.1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 [OS=Homo sapiens]",0,60.909,38,8,104,8,298,32.9,9.22,37441,8,0,0,1.048,0.07,0.948195036,63.17,23286620.1,22644661.09,12.08,7.16,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_001316607.1,protein PAXX isoform 1 [OS=Homo sapiens],0,14.945,11,3,12,3,223,23.8,6.68,4350,3,0,0,1.048,0.07,0.971422029,38.71,2953353.25,2806675.511,17.11,41.29,High,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Q3ZCQ8.2,RecName: Full=Mitochondrial import inner membrane translocase subunit TIM50; Flags: Precursor [OS=Homo sapiens],0,35.52,16,4,18,4,353,39.6,8.37,8350,4,0,0,1.048,0.07,0.963954914,55.57,8810110.897,8228049.085,16.96,15.24,High,High,High,High,High,High,1,
FALSE,High,Master Protein,EAW97759.1,"KIAA1033, isoform CRA_b [OS=Homo sapiens]",0,9.453,3,3,5,3,1239,142.5,8.07,1205,3,0,0,1.048,0.07,0.963954914,17.96,6268762.156,6261594.975,14.38,4.38,Peak Found,High,High,Peak Found,High,High,1,
FALSE,High,Master Protein,EAW88521.1,"dynamin 1-like, isoform CRA_c [OS=Homo sapiens]",0,126.015,36,17,90,17,789,87.8,8.78,37308,17,0,0,1.048,0.07,0.949557332,74.76,22456135.26,22174265.9,4.06,19.28,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_011522063.1,PREDICTED: myosin phosphatase Rho-interacting protein isoform X1 [OS=Homo sapiens],0,8.826,2,3,7,3,2457,277.4,5.67,2114,3,0,0,1.048,0.07,0.981033105,103.04,1184846.438,1557699.975,16.99,67.27,High,High,Peak Found,Peak Found,High,High,1,
FALSE,High,Master Protein,BAD96347.1,"galactosidase, alpha variant, partial [OS=Homo sapiens]",0,12.317,4,1,11,1,429,48.7,5.6,4020,1,0,0,1.047,0.07,0.981195482,21.94,3372690.232,3532098.75,28.06,5.68,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH05387.1,"aldo-keto reductase family 1, member B1 (aldose reductase) [OS=Homo sapiens]",0,57.139,34,8,69,7,316,35.8,7.21,24976,8,0,1,1.047,0.07,0.94800947,85.18,16891172.13,22830175.59,5.44,7.08,High,High,High,High,High,High,1,
FALSE,High,Master Protein,CAA73025.1,"SRP1-like protein, partial [OS=Homo sapiens]",0,23.834,11,2,10,1,281,30.8,4.48,6745,2,0,0,1.047,0.07,0.96640439,122.39,318302.493,128507.7437,92.92,105.44,Peak Found,High,High,Peak Found,High,High,1,
FALSE,High,Master Protein,BAE06097.2,MYO1C variant protein [OS=Homo sapiens],0,105.501,22,18,82,17,1063,121.6,9.42,32865,18,0,1,1.047,0.07,0.952487033,50.89,33175691.86,41079336.77,26.06,18.45,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAD92119.1,"chaperonin containing TCP1, subunit 3 (gamma) variant, partial [OS=Homo sapiens]",0,272.965,43,23,300,23,577,63.5,6.43,143485,23,0,0,1.047,0.07,0.952717164,71.74,163781518.5,150288901.1,11.14,15.73,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAC39751.1,Cargo selection protein TIP47 [OS=Homo sapiens],0,104.412,52,14,62,14,434,47,5.44,25936,14,0,0,1.046,0.07,0.953053508,95.41,25823154.38,23656437.32,5.72,7.73,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH44575.1,"tryptophanyl tRNA synthetase 2, mitochondrial [OS=Homo sapiens]",0,4.141,4,1,10,1,360,40.2,9.28,2265,1,0,0,1.046,0.07,0.981195482,45.67,1097913.71,1148813.73,39.75,13.98,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,BAD97161.1,"heterogeneous nuclear ribonucleoprotein H3 isoform a variant, partial [OS=Homo sapiens]",0,64.967,25,5,95,5,346,36.9,7.34,36999,5,0,0,1.046,0.07,0.953053508,66.13,44436570.41,40832980.17,31.64,20.31,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_008868.3,small ubiquitin-related modifier 2 isoform a precursor [OS=Homo sapiens],0,8.847,27,2,8,2,95,10.9,5.5,2497,2,0,0,1.046,0.06,0.978357797,82.89,1318161.305,777431.4822,82.03,13.97,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_061185.1,Protein RCC2 [OS=Homo sapiens],0,57.875,23,10,42,10,522,56,8.78,17894,10,0,0,1.046,0.06,0.963954914,107.51,8355529.05,7367355.643,36.34,17.61,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAD97137.1,"cytosolic malic enzyme 1 variant, partial [OS=Homo sapiens]",0,41.083,19,5,27,5,572,64,6.13,6216,5,0,0,1.046,0.06,0.96640439,59.88,5097148.282,5107655.766,25.54,4.62,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH05960.1,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1 [OS=Homo sapiens]",0,72.597,38,9,39,9,256,28.8,9.45,16964,9,0,0,1.046,0.06,0.963238516,99.95,8485197.428,5320448.765,86.88,63.55,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_016855583.1,PREDICTED: nuclear migration protein nudC isoform X1 [OS=Homo sapiens],0,48.921,33,10,30,10,392,45.2,5.96,8413,10,0,0,1.045,0.06,0.963954914,96.61,8168850.998,6799459.379,46.04,25.49,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_004102.1,Flap endonuclease 1 [OS=Homo sapiens],0,87.362,36,11,58,11,380,42.6,8.62,24842,11,0,0,1.045,0.06,0.956220282,104.09,31562151.46,27304815.65,20.03,21.56,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAB62724.1,Secretory carrier membrane protein [OS=Homo sapiens],0,9.907,9,2,2,2,347,38.3,7.64,879,2,0,0,1.045,0.06,0.974680241,92.01,1525596.979,2474628.437,77.14,83.02,Peak Found,High,Peak Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_057071.2,Heme-binding protein 1 [OS=Homo sapiens],0,21.199,28,4,28,4,189,21.1,5.8,14940,4,0,0,1.045,0.06,0.96497689,78.56,6466872.282,5913762.656,62.57,11.63,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_001124163.1,serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform 2 [OS=Homo sapiens],0,28.185,13,5,19,4,511,57.6,6.3,6537,5,0,1,1.045,0.06,0.957924271,50.38,16751781.31,10834941.59,48.57,44.38,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAG50848.1,unnamed protein product [OS=Homo sapiens],0,63.866,43,6,63,6,211,23.7,6.7,24009,6,0,0,1.044,0.06,0.955893367,111.95,21209204.43,20383627.36,90.1,3.81,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P21127.3,RecName: Full=Cyclin-dependent kinase 11B; AltName: Full=Cell division cycle 2-like protein kinase 1; Short=CLK-1; AltName: Full=Cell division protein kinase 11B; AltName: Full=Galactosyltransferase-associated protein kinase p58/GTA; AltName: Full=PITSLRE serine/threonine-protein kinase CDC2L1; AltName: Full=p58 CLK-1 [OS=Homo sapiens],0,12.521,5,3,10,3,795,92.7,5.57,2573,3,0,0,1.044,0.06,0.97748342,116.01,1746884.915,2215783.815,66.53,31.08,High,High,High,High,High,High,1,
FALSE,High,Master Protein,CCF77345.1,Methylthioadenosine phosphorylase [OS=Homo sapiens],0,54.187,23,5,66,5,346,38.3,8.12,29023,5,0,0,1.044,0.06,0.957496258,79.66,40709433.13,41976533.1,35.9,0.1,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_060037.3,N-acetyl-D-glucosamine kinase isoform 1 [OS=Homo sapiens],0,12.802,13,3,3,3,390,42,6.68,993,3,0,0,1.044,0.06,0.972375174,59.96,2445924.497,1957535.331,58.75,26.17,High,Peak Found,Peak Found,High,Peak Found,High,1,
FALSE,High,Master Protein,NP_006808.1,endoplasmic reticulum resident protein 29 isoform 1 precursor [OS=Homo sapiens],0,85.951,41,9,60,9,261,29,7.31,24425,9,0,0,1.044,0.06,0.964845464,129.26,7778803.878,9704288.742,111,71.66,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_005264612.1,PREDICTED: CAD protein isoform X1 [OS=Homo sapiens],0,195.959,27,37,137,36,2242,244.6,6.52,57950,37,0,0,1.044,0.06,0.95813613,83.19,47876210.87,47049935.33,7.29,1.88,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_009027.1,clathrin light chain A isoform b [OS=Homo sapiens],0,20.63,16,3,9,3,248,27.1,4.51,4809,3,0,0,1.044,0.06,0.964845464,82.68,6119379.668,6797669.769,11.31,12.07,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_001117.2,adenylosuccinate synthetase isozyme 2 [OS=Homo sapiens],0,38.829,24,7,27,6,456,50.1,6.55,12356,7,0,1,1.044,0.06,0.959494495,78.55,12288999.82,13408296.36,30.59,13.88,High,High,High,High,High,High,1,
FALSE,High,Master Protein,EAW53218.1,"ubiquitin associated protein 2-like, isoform CRA_f [OS=Homo sapiens]",0,42.933,12,7,37,7,994,105.1,6.98,14116,7,0,0,1.043,0.06,0.957496258,58.54,9742623.317,13467529.74,40.1,29.22,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAF83305.1,unnamed protein product [OS=Homo sapiens],0,403.588,60,27,596,1,377,42,5.39,256194,27,0,10,1.043,0.06,0.959403713,131.65,258397079.6,262204124.6,30.98,41.72,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH15804.1,"SF3A2 protein, partial [OS=Homo sapiens]",0,12.76,4,1,11,1,481,51.4,10.11,2016,1,0,0,1.043,0.06,0.96640439,108.29,4779431.951,5177987.756,24.29,15.79,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,AAD09325.1,ATP sulfurylase/APS kinase [OS=Homo sapiens],0,20.44,8,3,4,3,624,70.8,6.86,1570,3,0,0,1.043,0.06,0.985014943,135.98,5017833.277,1353528.573,71.36,81.74,High,High,Peak Found,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,XP_011534258.1,PREDICTED: decaprenyl-diphosphate synthase subunit 2 isoform X1 [OS=Homo sapiens],0.001,2.782,3,1,1,1,465,51.5,8.62,221,1,0,0,1.043,0.06,0.963954914,113.61,173619.8359,181105.7341,101.32,61.63,Not Found,Peak Found,High,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,NP_055693.4,Pumilio homolog 3 [OS=Homo sapiens],0,44.107,16,6,24,6,648,73.5,9.64,8779,6,0,0,1.043,0.06,0.96640439,50.93,4961850.231,7266181.365,61.67,22.65,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAF83366.1,unnamed protein product [OS=Homo sapiens],0,28.817,13,6,19,6,746,83.5,6.13,5403,6,0,0,1.043,0.06,0.96640439,62.5,6482817.382,6237172.541,15.41,16.71,High,High,High,High,High,High,1,
FALSE,High,Master Protein,CAB76830.1,type II hair keratin 5 [OS=Homo sapiens],0,5.858,2,1,15,1,507,55.7,6.55,4969,1,0,0,1.042,0.06,0.969831999,28.32,4152277.098,4880405.102,14.3,19.87,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_001258851.1,signal peptidase complex catalytic subunit SEC11A isoform 3 [OS=Homo sapiens],0,23.515,6,2,8,2,185,21.4,9.42,4712,2,0,0,1.042,0.06,0.968331679,114.44,2317967.706,2978964.312,18.92,20.4,High,High,High,High,Peak Found,High,1,
FALSE,High,Master Protein,XP_016877212.1,PREDICTED: alpha-actinin-1 isoform X4 [OS=Homo sapiens],0,433.352,49,47,404,30,1069,121.9,5.58,194331,47,0,0,1.042,0.06,0.962360215,95.36,73597009.64,71590905.52,10.44,15.11,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH30614.1,KTEL (Lys-Tyr-Glu-Leu) containing 1 [OS=Homo sapiens],0,3.696,4,1,2,1,392,46.2,8.72,400,1,0,0,1.042,0.06,0.981195482,38.98,1434963.693,1494544.288,55.29,21.76,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,AAB24841.1,"Tat binding protein 7, TBP-7=transcriptional activator [OS=Homo sapiens]",0,100.458,42,13,85,1,458,51.5,5.73,34603,13,0,12,1.041,0.06,0.962727712,74.4,20828301.26,22444873.03,7.8,6.76,High,High,High,High,High,High,1,
FALSE,Medium,Master Protein,AAQ88996.1,C3orf1 [OS=Homo sapiens],0.015,1.562,4,1,2,1,285,32.2,8.72,261,1,0,0,1.041,0.06,0.96640439,43.36,93102.99559,96937.59221,43.45,23.67,Not Found,High,Peak Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,AAA61138.1,Transcription elongation factor SII [OS=Homo sapiens],0,12.199,14,3,9,3,301,34,8.38,3811,3,0,0,1.041,0.06,0.95367467,138.04,25077602.6,5872677.354,73.42,126.4,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_005653.3,voltage-dependent anion-selective channel protein 3 isoform 1 [OS=Homo sapiens],0,68.298,34,7,44,7,283,30.6,8.66,15564,7,0,0,1.041,0.06,0.95367467,118.15,12887229.1,17828198.87,25.09,26.26,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH66326.1,ribosomal protein L27A [OS=Homo sapiens],0,49.576,32,5,35,5,148,16.5,11,15980,5,0,0,1.041,0.06,0.962727712,119.09,15274504.89,11383549.89,60.79,28.52,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_016859428.1,"PREDICTED: trifunctional enzyme subunit beta, mitochondrial isoform X1 [OS=Homo sapiens]",0,105.026,35,12,76,12,481,52.1,9.42,34808,12,0,0,1.041,0.06,0.963954914,48.32,32374212.59,36410568.14,35.1,20.63,High,High,High,High,High,High,1,
FALSE,Medium,Master Protein,AAH38115.1,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60 [OS=Homo sapiens],0.025,1.322,1,1,1,1,1712,197.7,7.65,77,1,0,0,1.041,0.06,0.96640439,137.3,90301.60466,93961.25641,74.91,103.16,Not Found,Not Found,Peak Found,Not Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_001035526.1,"tyrosine--tRNA ligase, mitochondrial precursor [OS=Homo sapiens]",0,36.609,21,7,14,7,477,53.2,8.98,4927,7,0,0,1.04,0.06,0.963954914,128.74,10423345.52,10647000.02,52.21,27.89,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_005247012.1,PREDICTED: E3 ubiquitin-protein ligase TRIP12 isoform X1 [OS=Homo sapiens],0,17.608,2,4,10,4,2068,228.4,8.6,4338,4,0,0,1.04,0.06,0.97905749,73.11,2313770.993,1732530.5,40.82,24.78,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAG70165.1,"autoantigen La, partial [OS=Homo sapiens]",0,90.832,43,14,96,14,408,46.8,7.12,35254,14,0,0,1.04,0.06,0.963954914,105.98,15067639.16,13170346.92,18.13,10.41,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_001124151.1,eukaryotic translation initiation factor 4E isoform 2 [OS=Homo sapiens],0,21.266,8,2,41,2,248,28.8,6.42,20836,2,0,0,1.039,0.06,0.992456493,77.56,3538312.939,3257250.532,11.94,19.79,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAP97139.1,p47 [OS=Homo sapiens],0,5.932,14,3,3,3,372,40.9,5.1,496,3,0,0,1.039,0.06,0.96640439,32.71,133904.9701,140993.2088,25.42,30.22,High,High,Peak Found,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,AAH30634.1,"HSPA9 protein, partial [OS=Homo sapiens]",0,331.752,42,24,507,23,681,73.8,6.37,233271,24,0,0,1.039,0.06,0.963954914,74.51,231198603.1,232902441.6,5.46,14.08,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_001035879.1,paraspeckle component 1 isoform 1 [OS=Homo sapiens],0,40.29,18,7,26,7,523,58.7,6.67,10288,7,0,0,1.038,0.05,0.963954914,62.8,13184565.75,14997275.86,36.09,20.8,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAD93059.1,"ADP,ATP carrier protein, liver isoform T2 variant, partial [OS=Homo sapiens]",0,104.597,40,14,164,2,323,35.4,9.85,70798,14,0,2,1.038,0.05,0.963954914,72.94,10397469.73,12625784.32,7.5,7.84,High,High,Peak Found,High,High,Peak Found,1,
FALSE,High,Master Protein,NP_001340975.1,rho guanine nucleotide exchange factor 7 isoform i [OS=Homo sapiens],0,14.692,4,2,6,2,862,97.1,6.73,1612,2,0,0,1.038,0.05,0.97748342,60.3,1604997.938,2989760.63,79.9,40.25,Peak Found,Peak Found,High,Peak Found,High,High,1,
FALSE,High,Master Protein,AAF65181.1,"HDCMA39P, partial [OS=Homo sapiens]",0,22.813,8,2,27,2,182,20.1,10.11,14163,2,0,0,1.038,0.05,0.96640439,61.86,7572160.122,9088320.372,61.98,22,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_016855120.1,PREDICTED: eukaryotic elongation factor 2 kinase isoform X1 [OS=Homo sapiens],0,5.312,1,1,1,1,741,83.8,5.47,425,1,0,0,1.038,0.05,0.96640439,19.74,206174.4322,238203.9277,30.69,26.08,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,BAF31287.1,BAT1 protein [OS=Homo sapiens],0,132.786,33,15,105,7,443,50.6,5.88,41507,15,0,8,1.037,0.05,0.963954914,67.6,87034926.53,96729557.5,35.42,7.57,High,High,High,High,High,High,1,
FALSE,High,Master Protein,ABB29977.1,DNA-directed polymerase delta 1 [OS=Homo sapiens],0,44.721,11,9,43,9,1133,126.3,7.43,14710,9,0,0,1.037,0.05,0.963954914,55.89,60405268.11,74639437.3,57.34,20.02,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_001171725.1,extended synaptotagmin-1 isoform 1 [OS=Homo sapiens],0,126.695,26,18,141,18,1114,123.9,5.78,57104,18,0,0,1.037,0.05,0.963954914,75.87,42021452.1,44841277.65,35.17,18.33,High,High,High,High,High,High,1,
FALSE,High,Master Protein,EAW95259.1,"MKI67 (FHA domain) interacting nucleolar phosphoprotein, isoform CRA_a [OS=Homo sapiens]",0,11.616,12,2,4,2,318,37.3,9.85,940,2,0,0,1.036,0.05,0.987227554,74.18,1897879.793,455189.963,52.64,102.83,Peak Found,Peak Found,Peak Found,High,High,High,1,
FALSE,High,Master Protein,Q16643.4,RecName: Full=Drebrin; AltName: Full=Developmentally-regulated brain protein [OS=Homo sapiens],0.001,3.446,3,1,3,1,649,71.4,4.45,552,1,0,0,1.036,0.05,0.967781507,44.25,86186.8663,89330.00728,147.66,153.28,High,Not Found,Not Found,High,Not Found,Not Found,1,
FALSE,High,Master Protein,XP_005269031.1,"PREDICTED: ATP-dependent 6-phosphofructokinase, muscle type isoform X1 [OS=Homo sapiens]",0,106.224,22,13,65,10,883,96.8,8.12,22624,13,0,1,1.036,0.05,0.963954914,76,19383551.06,17684955.5,24.85,9.38,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAA60064.1,prolidase [OS=Homo sapiens],0,20.836,12,3,11,3,493,54.3,5.76,3681,3,0,0,1.036,0.05,0.991819568,48.78,1666915.612,1027900.563,29.51,49.02,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_016874530.1,PREDICTED: protein MON2 homolog isoform X1 [OS=Homo sapiens],0,12.976,3,4,7,4,1718,190.4,6.1,1817,4,0,0,1.036,0.05,0.993430465,61.17,921786.7134,818499.0374,13.4,27.36,High,Peak Found,High,Peak Found,High,High,1,
FALSE,High,Master Protein,EAW85111.1,"poly(A)-specific ribonuclease (deadenylation nuclease), isoform CRA_b [OS=Homo sapiens]",0,13.628,5,2,7,2,640,73.5,5.91,2947,2,0,0,1.036,0.05,0.981033105,30.29,1886076.099,1967261.362,39.57,20.79,High,High,Peak Found,High,High,High,1,
FALSE,High,Master Protein,AAO85780.1,gamma-catenin [OS=Homo sapiens],0,62.357,19,8,35,7,745,81.7,6.14,12955,8,0,1,1.036,0.05,0.96640439,94.38,6196656.276,10403005.87,12.71,28.18,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_004640.4,"ES1 protein homolog, mitochondrial isoform 1 precursor [OS=Homo sapiens]",0,45.04,28,4,26,4,268,28.2,8.27,8121,4,0,0,1.035,0.05,0.963954914,32.06,11928258.38,12829372.5,19.66,9.46,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAD26137.1,nuclear chloride channel [OS=Homo sapiens],0,85.63,44,8,83,8,241,26.9,5.1,38557,8,0,0,1.035,0.05,0.963991429,40.27,72780976.48,78483314.91,11.26,13.95,High,High,High,High,High,High,1,
FALSE,High,Master Protein,EAW81759.1,"dynein, cytoplasmic 1, heavy chain 1, isoform CRA_a, partial [OS=Homo sapiens]",0,545.094,25,78,420,3,4583,525.6,6.52,172492,78,0,0,1.035,0.05,0.96640439,97.92,6260243.322,7052261.619,27.78,21.7,High,High,High,High,High,High,1,
FALSE,Medium,Master Protein,BAA09927.2,KIAA0157 [OS=Homo sapiens],0.012,1.661,4,1,1,1,415,46.9,6.27,138,1,0,0,1.035,0.05,0.99616346,20.67,3476876.682,3398805.324,43.81,11.35,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,BAD96247.1,"low density lipoprotein receptor-related protein associated protein 1 variant, partial [OS=Homo sapiens]",0,39.183,24,7,22,7,357,41.5,8.25,7537,7,0,0,1.035,0.05,0.981195482,44.87,2275490.845,2001018.865,72.15,44.16,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q13907.2,RecName: Full=Isopentenyl-diphosphate Delta-isomerase 1; AltName: Full=Isopentenyl pyrophosphate isomerase 1; Short=IPP isomerase 1; Short=IPPI1 [OS=Homo sapiens],0,17.049,15,3,15,3,227,26.3,6.34,5067,3,0,0,1.035,0.05,0.96640439,41.37,5983509.019,6178240.097,35.94,16.57,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_001598.1,"3-ketoacyl-CoA thiolase, peroxisomal isoform a [OS=Homo sapiens]",0,53.987,31,8,45,8,424,44.3,8.44,20437,8,0,0,1.034,0.05,0.963954914,59.64,11320742.09,11036398,28.54,14.65,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAA23651.1,proteasome subunit p58 [OS=Homo sapiens],0,136.652,39,14,94,14,534,61,8.44,41453,14,0,0,1.034,0.05,0.96640439,81.39,22794255.72,24666465.41,12.88,18.34,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_835227.1,Reticulophagy regulator 3 [OS=Homo sapiens],0,4.457,3,1,2,1,466,51.4,4.97,618,1,0,0,1.034,0.05,0.981568305,37.6,607632.6508,568483.1379,42.18,19.09,Peak Found,Peak Found,High,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,BAG51901.1,unnamed protein product [OS=Homo sapiens],0,13.28,8,1,12,1,274,30.2,7.37,5157,1,0,0,1.033,0.05,0.982461169,44.71,3947404.745,4079311.935,83.49,19.57,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_031381.2,heat shock protein HSP 90-beta isoform a [OS=Homo sapiens],0,570.6,57,48,837,32,724,83.2,5.03,376476,48,0,16,1.033,0.05,0.96640439,96,457561738.7,464877901.6,59.93,40.36,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_001304160.1,mitochondrial carrier homolog 2 isoform 1x [OS=Homo sapiens],0,73.723,33,8,45,8,314,34.4,8.09,19581,8,0,0,1.033,0.05,0.96640439,97.55,18657807,14537931.96,47.39,35.52,High,High,High,High,High,High,1,
